Fighter,Height,Weight,Style(op),Country,Age,Stance,Wins KO,Losses Ko,Wins Sub,Losses Sub,Total Wins,Total Losses,Total Draw
Turganaly Abdullaev,0,0,,,,,0,1,0,0,0,1,0
Ahsan Abdullah,"5' 8""", 140 lbs,,USA,30,,0,0,0,2,0,4,0
Hedi Ben Abdullah,0,0,,,,,0,0,0,1,0,1,0
Mohammed Abdullah,0,0,,,,,1,0,0,0,1,0,0
Muhammed Abdullah,"6' 1""", 185 lbs,Striker,USA,37,,3,1,0,4,11,6,0
Rashid Abdullah,0,0,,,9/27/198,,1,3,1,2,2,7,0
Alisher Abdulloev,0,0,,Germany,,,0,0,0,0,0,1,0
Shamil Abdulmusilmov,0,0,,,,,0,2,0,0,0,2,0
Vladimir Abdulov,0,0,,,,,0,0,0,1,0,1,0
Abdul-Aziz Abdulvakhabov,0,0,,,1/16/198,,7,0,4,0,15,2,0
Ramazan Abdulzhalilov,0,0,,,,,0,0,0,1,0,3,0
Valid Abdurachmanov,0,0,,,,,0,0,1,0,1,0,0
Magomed Abdurahimov,0,0,,,,,0,0,0,0,1,0,0
Salamu Abdurahmanov,"6' 0""", 185 lbs,,Russia,,,1,0,1,0,3,0,0
Shamil Abdurakhimov,"6' 3""", 263 lbs,Wrestling,Russia,41,Orthodox,9,6,4,1,20,8,0
Murad Abdurakhmanov,0,0,,Kazakhstan,2/22/199,,1,0,0,0,1,0,0
Muzaffar Abdurakhmanov,0,0,,,,,0,0,1,0,1,0,0
Rizvan Abdurakhmanov,0,0,,,,,0,1,0,0,0,1,0
Rustam Abdurapov,0,0,,,,,0,1,0,1,0,2,0
Arsen Abdurashidov,0,0,,,,,0,0,0,1,0,1,0
Rashidhan Abdurashidov,0,0,,Russia,,,0,0,1,0,1,0,0
Kurbanali Abdusalamov,0,0,,,,,0,1,0,0,1,1,0
Aygul Abduvakhid,0,0,,Kyrgyzstan,,,0,1,0,0,0,1,0
Bekbolot Abdylda,0,0,,,,,0,0,0,0,0,1,0
Daichi Abe,"5' 11""", 170 lbs,,Japan,31,Orthodox,4,1,0,1,6,4,0
Hiroyuki Abe,0,0,,,,Orthodox,0,2,0,1,0,6,1
Masatoshi Abe,0,0,,,,Orthodox,0,0,0,1,0,2,0
Michto Abe,0,0,,Japan,,,0,0,0,0,1,0,0
Yoshitaka Abe,0,0,,,7/20/198,,0,1,1,0,1,2,1
Mohammad Abed,0,0,,,,,0,1,0,0,0,1,0
Papy Abedi,0,0,,,6/30/197,Southpaw,6,2,2,2,10,4,0
Avtandil Abeishvili,0,0,,Georgia,,,0,0,0,0,0,1,0
Yedike Abelian,0,0,,,,,0,1,0,0,0,1,0
Nathan Aber,0,0,,,,,0,0,0,0,0,1,0
Joseph Abercrombie,0,0,,,,,0,0,1,0,1,0,0
Jason Abernathy,0,0,,,,,0,0,0,0,0,1,0
Helio Abicassiz,0,0,,,,,0,1,0,0,0,1,0
Dastan Abidimitalipuulu,0,0,,,,,0,0,0,0,0,1,0
Isa Abiev,0,0,,,,,0,0,0,1,0,1,0
Ruslan Abiltarov,0,0,,,,,0,0,0,3,0,5,0
Alexandre Abin,0,0,,,,,0,1,0,0,0,1,0
Jazor Ablasi,0,0,,,5/28/198,,0,0,1,0,1,1,0
Marvin Aboeli,0,0,,Netherlands,,,0,2,0,1,0,3,0
Joe Abouata,0,0,,,7/19/198,,0,1,0,1,0,2,0
Josh Abraham,0,0,,,,,0,0,1,0,1,1,0
Tuirangi Abraham,0,0,,,,,0,1,0,0,0,1,0
Derek Abram,0,0,,,,,1,4,0,1,1,5,0
Mariusz Abramiuk,0,0,,,8/28/198,,0,0,1,1,1,2,0
Dean Abramo,0,0,,Australia,,,0,1,0,0,0,1,0
Neal Abrams,0,0,,,,,0,1,0,0,0,1,0
Ed Abrasley,0,0,,,,,0,2,0,0,0,2,0
Brandon Abrego,0,0,,,,,0,1,0,0,0,1,0
Ruslan Abrekov,"5' 8""", 145 lbs,,France,32,,0,0,0,2,0,2,0
Adriel Santos Abreu,0,0,,,,,0,0,0,1,0,1,0
Araripe Abreu,0,0,,,,,0,0,0,1,0,1,0
Carlos Abreu,"5' 5""", 135 lbs,Striker,Brazil,30,,1,2,4,0,9,4,0
Fabio Abreu,0,0,,,11/24/198,,0,1,0,0,0,1,0
Klidson Abreu,"6' 2""", 258 lbs,,Brazil,30,Orthodox,4,3,10,0,16,5,0
Lucio Abreu,0,0,,,11/5/198,,0,0,0,1,0,2,0
Ricardo Abreu,0,0,,,4/27/198,Orthodox,3,0,2,0,5,1,0
Roberto Abreu,0,0,,,,,0,0,0,1,0,1,0
Micah Abreu-Laybon,0,0,,USA,5/4/198,,0,1,0,1,0,2,0
Garik Abriamiani,0,0,,,,,0,1,0,0,0,1,0
Mark Joseph Abrillo,0,0,,,,,0,0,0,2,0,2,0
Daniel Abrol,0,0,,,,,0,1,0,0,0,1,0
Kevin Absher,0,0,,,,,0,1,0,0,0,1,0
Adriano Abu,0,0,,,,,0,0,0,0,1,0,0
Mumia Abu Dey-Ali,"6' 2""", 170 lbs,,USA,,,0,1,0,0,0,1,0
Mohammed Abu Naim,0,0,,Palestine,,,0,1,0,1,0,2,0
Ibragim Abubakarov,0,0,,Russia,,,0,1,0,0,0,1,0
Rizvan Abuev,"5' 9""", 125 lbs,,Russia,30,,9,2,2,1,12,4,0
Roldan Abundis,0,0,,,,,0,0,0,0,0,1,0
Kerim Abzailov,0,0,,,,,0,2,0,0,0,2,0
Nawras Abzakh,"5' 7""", 125 lbs,,Jordan,30,,0,1,0,0,1,2,0
Maui Acantilado,"5' 5""", 125 lbs,,USA,30,,0,2,0,0,0,2,0
Corey Ace,0,0,,,,,0,0,0,0,0,1,0
Chris Acevedo,0,0,,,,,0,1,0,0,0,1,0
Juan Acevedo,0,0,,,,,0,1,0,0,0,1,0
Rosa Acevedo,"5' 2""", 115 lbs,,,34,,0,1,1,0,3,3,0
Iman Achhal,0,0,,,,,0,0,0,0,1,0,0
Alfredo Achilli,0,0,,,,,0,0,0,2,0,2,0
Austin Achorn,0,0,,,,,0,1,0,0,0,1,0
Barbara Acioly,"5' 8""", 125 lbs,,,29,,1,1,3,2,5,3,0
Bernard Ackah,0,0,,,,,0,1,0,1,0,2,0
Landon Ackel,0,0,,,,,0,0,0,1,0,1,0
Terry Acker,0,0,,,,,0,0,0,1,0,1,0
Troy Acker,0,0,,,,,0,1,0,0,0,1,0
Cole Ackerman,0,0,,,,,0,1,0,1,1,2,0
Jason Ackerman,0,0,,,,,0,1,0,0,0,1,0
Ryan Ackerman,0,0,,,,,0,1,0,1,1,3,0
Chaz Ackles,0,0,,,,,1,0,0,0,1,0,0
Matt Acorn,0,0,,,,,0,1,0,0,0,1,0
Beatriz Acosta,0,0,,Paraguay,,,0,0,0,1,0,1,0
Bradie Acosta,0,0,,,,,0,1,0,0,0,1,0
Buckley Acosta,0,0,,,,,0,2,0,1,0,3,0
David Acosta,0,0,,,,,2,0,3,1,5,2,0
