,Fighter,Height,Weight(lbs),Style(op),Country,Age,Stance,Reach,WT_class,Date,Opponent,Res.,Decision,Rnd,Time,Event,W,L,D,Oppo_Style(op),Oppo_Country,Oppo_Age,Oppo_Stance,Oppo_Reach,Oppo_WT_class,BMI,Win_Percentage,Day,Month,Year,Oppo_W,Oppo_L,Oppo_D,Oppo_Win_Percentage
0,AJ Dobson,73,185,Muay Thai,USA,31,Orthodox,76,Middleweight,2022-10-22,Armen Petrosyan,L,Decision - Unanimous,3,05:00,UFC 280: Oliveira vs. Makhachev,6,1,1,Muay Thai,Armenia,32,Orthodox,71,Light Heavyweight,24.405141677613063,75.0,22,10,2022,7,2,0,77.77777777777779
3,AJ Dobson,73,185,Muay Thai,USA,31,Orthodox,76,Middleweight,2020-11-07,Kailan Hill,W,KO,1,00:35,SHP 57: Strike Hard Promotions 57,4,0,1,Freestyle,Puerto Rico,28,Southpaw,77,Middleweight,24.405141677613063,80.0,7,11,2020,4,1,1,66.66666666666666
9,AJ Fletcher,70,170,Striker,USA,25,Switch,67,Welterweight,2022-08-20,Ange Loosa,L,Decision - Unanimous,3,05:00,UFC 278: Usman vs. Edwards 2,9,1,0,Striker,Democratic Republic of Congo,29,Orthodox,74,Welterweight,24.389795918367348,90.0,20,8,2022,8,3,0,72.72727272727273
10,AJ Fletcher,70,170,Striker,USA,25,Switch,67,Welterweight,2022-03-12,Matthew Semelsberger,L,Decision - Unanimous,3,05:00,UFC Fight Night: Santos vs. Ankalaev,9,0,0,Freestyle,USA,30,Switch,75,Welterweight,24.389795918367348,100.0,12,3,2022,9,3,0,75.0
11,AJ Fletcher,70,170,Striker,USA,25,Switch,67,Welterweight,2021-08-31,Leonardo Damiani,W,KO/TKO,1,02:24,"Dana White's Contender Series: Season 5, Week 1",8,0,0,Striker,Italy,32,Orthodox,69,Welterweight,24.389795918367348,100.0,31,8,2021,10,2,1,76.92307692307693
30,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2023-01-14,Claudio Ribeiro,W,KO/TKO,2,00:28,UFC Fight Night: Strickland vs. Imavov,11,5,0,Boxing,Brazil,30,Orthodox,77,Middleweight,26.541836734693877,68.75,14,1,2023,10,2,0,83.33333333333334
31,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2022-02-19,Joaquin Buckley,L,Decision - Split,3,05:00,UFC Fight Night: Walker vs. Hill,11,4,0,Striker,USA,28,Southpaw,76,Middleweight,26.541836734693877,73.33333333333333,19,2,2022,13,4,0,76.47058823529412
32,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2021-08-28,Alessio Di Chirico,W,KO/TKO,1,00:17,UFC Fight Night: Barboza vs. Chikadze,10,4,0,Striker,Italy,33,Orthodox,74,Middleweight,26.541836734693877,71.42857142857143,28,8,2021,13,5,0,72.22222222222221
34,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2020-11-14,Khaos Williams,L,KO/TKO,1,00:30,UFC Fight Night: Felder vs. Dos Anjos,10,2,0,Striker,USA,28,Orthodox,77,Welterweight,26.541836734693877,83.33333333333334,14,11,2020,10,1,0,90.9090909090909
35,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2020-07-15,Mounir Lazzez,L,Decision - Unanimous,3,05:00,UFC Fight Night: Kattar vs. Ige,10,1,0,Mixed Martial Artist,Tunisia,35,Orthodox,76,Welterweight,26.541836734693877,90.9090909090909,15,7,2020,9,1,0,90.0
37,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2018-01-20,Sabah Homasi,W,KO/TKO,1,03:47,UFC 220: Miocic vs. Ngannou,8,1,0,Striker,USA,34,Orthodox,72,Welterweight,26.541836734693877,88.88888888888889,20,1,2018,11,7,0,61.111111111111114
38,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2017-12-02,Sabah Homasi,W,KO/TKO,1,04:21,UFC 218: Holloway vs. Aldo 2,7,1,0,Striker,USA,34,Orthodox,72,Welterweight,26.541836734693877,87.5,2,12,2017,11,6,0,64.70588235294117
47,Abubakar Nurmagomedov,71,170,Wrestling,Russia,33,Orthodox,72,Welterweight,2022-10-22,Gadzhi Omargadzhiev,W,Decision - Unanimous,3,05:00,UFC 280: Oliveira vs. Makhachev,16,3,1,Wrestling,Russia,29,Switch,71,Middleweight,23.70759769886927,80.0,22,10,2022,13,1,0,92.85714285714286
48,Abubakar Nurmagomedov,71,170,Wrestling,Russia,33,Orthodox,72,Welterweight,2021-03-27,Jared Gooden,W,Decision - Unanimous,3,05:00,UFC 260: Miocic vs. Ngannou 2,15,3,1,Freestyle,USA,29,Orthodox,77,Welterweight,23.70759769886927,78.94736842105263,27,3,2021,17,5,0,77.27272727272727
59,Abubakar Nurmagomedov,71,170,Wrestling,Russia,33,Orthodox,72,Welterweight,2014-09-01,Magomed Mustafaev,L,TKO - Doctor's Stoppage,1,04:11,Sochi Star Club: Sochi Star Tournament 1,8,0,0,Striker,Russia,34,Orthodox,71,Lightweight,23.70759769886927,100.0,1,9,2014,10,2,0,83.33333333333334
95,Adrian Yanez,67,135,Striker,USA,29,Orthodox,70,Bantamweight,2022-06-18,Tony Kelley,W,KO/TKO,1,03:49,UFC Fight Night: Kattar vs. Emmett,15,3,0,Boxing,USA,36,Switch,70,Featherweight,21.14167966139452,83.33333333333334,18,6,2022,8,2,0,80.0
97,Adrian Yanez,67,135,Striker,USA,29,Orthodox,70,Bantamweight,2021-07-24,Randy Costa,W,KO/TKO,2,02:11,UFC Fight Night: Sandhagen vs. Dillashaw,13,3,0,Striker,USA,28,Switch,73,Bantamweight,21.14167966139452,81.25,24,7,2021,6,1,0,85.71428571428571
100,Adrian Yanez,67,135,Striker,USA,29,Orthodox,70,Bantamweight,2020-08-11,Brady Huang,W,KO/TKO,1,00:39,"Dana White's Contender Series: Season 4, Week 2",10,3,0,Striker,USA,30,Orthodox,69,Bantamweight,21.14167966139452,76.92307692307693,11,8,2020,11,1,0,91.66666666666666
104,Adrian Yanez,67,135,Striker,USA,29,Orthodox,70,Bantamweight,2018-11-30,Miles Johns,L,Decision - Split,5,05:00,LFA 55: Johns vs. Yanez,7,2,0,Striker,USA,28,Orthodox,66,Bantamweight,21.14167966139452,77.77777777777779,30,11,2018,7,0,0,100.0
114,Aiemann Zahabi,68,135,Striker,Canada,35,Orthodox,68,Bantamweight,2022-07-09,Ricky Turcios,W,Decision - Unanimous,3,05:00,UFC Fight Night: Dos Anjos vs. Fiziev,8,2,0,Freestyle,USA,29,Orthodox,71,Bantamweight,20.524437716262977,80.0,9,7,2022,12,2,0,85.71428571428571
116,Aiemann Zahabi,68,135,Striker,Canada,35,Orthodox,68,Bantamweight,2019-05-04,Vince Morales,L,Decision - Unanimous,3,05:00,UFC Fight Night: Iaquinta vs. Cowboy,7,1,0,Striker,USA,32,Orthodox,70,Bantamweight,20.524437716262977,87.5,4,5,2019,8,3,0,72.72727272727273
125,Ailin Perez,65,145,Judo,Argentina,28,Switch,66,Women's Featherweight,2022-09-03,Stephanie Egger,L,Submission,2,04:54,UFC Fight Night: Gane vs. Tuivasa,7,1,0,Judo,Switzerland,34,Orthodox,68,Women's Bantamweight,24.12662721893491,87.5,3,9,2022,7,3,0,70.0
135,Al Iaquinta,70,156,Striker,USA,35,Orthodox,70,Lightweight,2019-10-05,Dan Hooker,L,Decision - Unanimous,3,05:00,UFC 243: Whittaker vs. Adesanya,14,5,1,Striker,New Zealand,32,Switch,75,Lightweight,22.38122448979592,70.0,5,10,2019,18,8,0,69.23076923076923
136,Al Iaquinta,70,156,Striker,USA,35,Orthodox,70,Lightweight,2019-05-04,Donald Cerrone,L,Decision - Unanimous,5,05:00,UFC Fight Night: Iaquinta vs. Cowboy,14,4,1,Wrestling,USA,39,Orthodox,73,Lightweight,22.38122448979592,73.68421052631578,4,5,2019,35,11,1,74.46808510638297
138,Al Iaquinta,70,156,Striker,USA,35,Orthodox,70,Lightweight,2018-04-07,Khabib Nurmagomedov,L,Decision - Unanimous,5,05:00,UFC 223: Khabib vs. Iaquinta,13,3,1,Wrestling,Russia,34,Orthodox,70,Lightweight,22.38122448979592,76.47058823529412,7,4,2018,25,0,0,100.0
140,Al Iaquinta,70,156,Striker,USA,35,Orthodox,70,Lightweight,2015-04-04,Jorge Masvidal,W,Decision - Split,3,05:00,UFC Fight Night: Mendes vs. Lamas,11,3,1,Striker,USA,38,Orthodox,74,Welterweight,22.38122448979592,73.33333333333333,4,4,2015,28,8,0,77.77777777777779
156,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2020-11-21,Jared Gooden,W,Decision - Unanimous,3,05:00,UFC 255: Figueiredo vs. Perez,16,7,0,Freestyle,USA,29,Orthodox,77,Welterweight,23.053626543209877,69.56521739130434,21,11,2020,17,4,0,80.95238095238095
157,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2019-04-13,Dwight Grant,L,Decision - Split,3,05:00,UFC 236: Holloway vs. Poirier 2,16,6,0,Striker,USA,38,Switch,76,Welterweight,23.053626543209877,72.72727272727273,13,4,2019,9,2,0,81.81818181818183
158,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2018-02-24,Ben Saunders,W,KO/TKO,2,02:38,UFC Fight Night: Emmett vs. Stephens,15,6,0,Kick Boxing,USA,39,Orthodox,77,Welterweight,23.053626543209877,71.42857142857143,24,2,2018,21,8,2,67.74193548387096
161,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2016-12-17,Mike Perry,W,Decision - Unanimous,3,05:00,UFC Fight Night: VanZant vs. Waterson,14,4,0,Striker,USA,31,Orthodox,71,Welterweight,23.053626543209877,77.77777777777779,17,12,2016,9,0,0,100.0
162,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2016-07-07,Belal Muhammad,W,Decision - Unanimous,3,05:00,UFC Fight Night: Dos Anjos vs. Alvarez,13,4,0,Striker,Palestine,34,Orthodox,72,Welterweight,23.053626543209877,76.47058823529412,7,7,2016,9,0,0,100.0
164,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2015-10-03,Albert Tumenov,L,KO/TKO,1,02:55,UFC 192: Cormier vs. Gustafsson,12,3,0,Striker,Russia,31,Orthodox,73,Welterweight,23.053626543209877,80.0,3,10,2015,15,2,1,83.33333333333334
178,Alan Jouban,72,170,Striker,USA,41,Southpaw,73,Welterweight,2011-05-06,Chidi Njokuani,L,KO,3,01:27,TPF 9: The Contenders,1,0,0,Striker,USA,34,Orthodox,80,Welterweight,23.053626543209877,100.0,6,5,2011,4,2,0,66.66666666666666
180,Alan Patrick,71,156,Wrestling,Brazil,39,Southpaw,74,Lightweight,2022-05-14,Michael Johnson,L,KO/TKO,2,03:22,UFC Fight Night: Blachowicz vs. Rakic,15,3,1,Wrestling,USA,36,Southpaw,73,Lightweight,21.755207300138864,78.94736842105263,14,5,2022,20,17,0,54.054054054054056
183,Alan Patrick,71,156,Wrestling,Brazil,39,Southpaw,74,Lightweight,2018-10-06,Scott Holtzman,L,KO/TKO,3,03:42,UFC 229: Khabib vs. McGregor,15,1,0,Wrestling,USA,39,Orthodox,69,Lightweight,21.755207300138864,93.75,6,10,2018,11,2,0,84.61538461538461
184,Alan Patrick,71,156,Wrestling,Brazil,39,Southpaw,74,Lightweight,2018-02-03,Damir Hadzovic,W,Decision - Unanimous,3,05:00,UFC Fight Night: Machida vs. Anders,14,1,0,"Striker, Freestyle",Denmark,36,Orthodox,70,Lightweight,21.755207300138864,93.33333333333333,3,2,2018,11,3,0,78.57142857142857
186,Alan Patrick,71,156,Wrestling,Brazil,39,Southpaw,74,Lightweight,2016-03-19,Damien Brown,W,Decision - Unanimous,3,05:00,UFC Fight Night: Hunt vs. Mir,12,1,0,Striker,Australia,38,Orthodox,68,Lightweight,21.755207300138864,92.3076923076923,19,3,2016,15,8,0,65.21739130434783
188,Alan Patrick,71,156,Wrestling,Brazil,39,Southpaw,74,Lightweight,2014-02-01,John Makdessi,W,Decision - Unanimous,3,05:00,UFC 169: Barao vs. Faber 2,11,0,0,Striker,Canada,37,Orthodox,68,Lightweight,21.755207300138864,100.0,1,2,2014,12,2,0,85.71428571428571
200,Albert Duraev,71,185,Striker,Russia,34,Orthodox,75,Middleweight,2022-06-18,Joaquin Buckley,L,TKO - Doctor's Stoppage,2,05:00,UFC Fight Night: Kattar vs. Emmett,15,3,0,Striker,USA,28,Southpaw,76,Middleweight,25.799444554651853,83.33333333333334,18,6,2022,14,4,0,77.77777777777779
201,Albert Duraev,71,185,Striker,Russia,34,Orthodox,75,Middleweight,2021-10-30,Roman Kopylov,W,Decision - Unanimous,3,05:00,UFC 267: Blachowicz vs. Teixeira,14,3,0,Mixed Martial Artist,Russia,31,Southpaw,75,Middleweight,25.799444554651853,82.35294117647058,30,10,2021,8,1,0,88.88888888888889
208,Albert Duraev,71,185,Striker,Russia,34,Orthodox,75,Middleweight,2015-06-14,Sergey Khandozhko,W,Decision - Unanimous,3,05:00,ACB 20: Sochi,7,3,0,Striker,Russia,30,Orthodox,74,Welterweight,25.799444554651853,70.0,14,6,2015,21,1,1,91.30434782608695
214,Albert Duraev,71,185,Striker,Russia,34,Orthodox,75,Middleweight,2012-06-21,Ramazan Emeev,L,KO,1,01:36,M-1 Global: Fedor vs. Rizzo,3,1,0,Mixed Martial Artist,Russia,35,Southpaw,76,Welterweight,25.799444554651853,75.0,21,6,2012,8,2,0,80.0
223,Albert Tumenov,71,170,Striker,Russia,31,Orthodox,73,Welterweight,2016-10-08,Leon Edwards,L,Submission,3,03:01,UFC 204: Bisping vs. Henderson 2,17,3,1,Striker,England,31,Southpaw,74,Welterweight,23.70759769886927,80.95238095238095,8,10,2016,11,3,0,78.57142857142857
225,Albert Tumenov,71,170,Striker,Russia,31,Orthodox,73,Welterweight,2016-01-02,Lorenz Larkin,W,Decision - Split,3,05:00,UFC 195: Lawler vs. Condit,16,2,1,Striker,USA,36,Orthodox,72,Welterweight,23.70759769886927,84.21052631578947,2,1,2016,16,4,1,76.19047619047619
246,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2021-10-02,Johnny Eduardo,W,Submission,2,04:13,UFC Fight Night: Santos vs. Walker,22,8,1,Striker,Brazil,44,Orthodox,71,Bantamweight,23.239669421487605,70.96774193548387,2,10,2021,28,12,0,70.0
247,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2019-07-06,Song Yadong,L,KO/TKO,1,02:04,UFC 239: Jones vs. Santos,22,7,1,Striker,China,25,Orthodox,67,Bantamweight,23.239669421487605,73.33333333333333,6,7,2019,14,5,1,70.0
249,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2018-07-14,Eddie Wineland,W,Decision - Unanimous,3,05:00,UFC Fight Night: Dos Santos vs. Ivanov,21,6,1,Striker,USA,38,Orthodox,69,Bantamweight,23.239669421487605,75.0,14,7,2018,23,12,1,63.888888888888886
252,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2017-08-05,Andre Soukhamthath,W,Decision - Split,3,05:00,UFC Fight Night: Pettis vs. Moreno,18,6,1,Striker,USA,34,Orthodox,70,Bantamweight,23.239669421487605,72.0,5,8,2017,11,4,0,73.33333333333333
257,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2014-11-15,Jose Quinonez,W,Decision - Unanimous,3,05:00,UFC 180: Werdum vs. Hunt,15,5,0,Striker,Mexico,32,Southpaw,69,Bantamweight,23.239669421487605,75.0,15,11,2014,4,1,0,80.0
258,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2014-06-18,Guido Cannetti,W,KO/TKO,1,01:40,The Ultimate Fighter: Latin America Semifinal,14,5,0,Freestyle,Argentina,43,Southpaw,68,Bantamweight,23.239669421487605,73.68421052631578,18,6,2014,6,1,0,85.71428571428571
260,Alejandro Perez,66,144,Striker,Mexico,33,Orthodox,67,Bantamweight,2013-08-02,Jose Quinonez,L,Unanimous Decision,3,05:00,FCM: Fight Club Mexico 3,13,4,0,Striker,Mexico,32,Southpaw,69,Bantamweight,23.239669421487605,76.47058823529412,2,8,2013,1,0,0,100.0
278,Alessio Di Chirico,72,186,Striker,Italy,33,Orthodox,74,Middleweight,2022-09-03,Roman Kopylov,L,KO/TKO,3,01:09,UFC Fight Night: Gane vs. Tuivasa,13,6,0,Mixed Martial Artist,Russia,31,Southpaw,75,Middleweight,25.22337962962963,68.42105263157895,3,9,2022,8,2,0,80.0
280,Alessio Di Chirico,72,186,Striker,Italy,33,Orthodox,74,Middleweight,2021-01-16,Joaquin Buckley,W,KO/TKO,1,02:12,UFC Fight Night: Holloway vs. Kattar,12,5,0,Striker,USA,28,Southpaw,76,Middleweight,25.22337962962963,70.58823529411765,16,1,2021,12,3,0,80.0
281,Alessio Di Chirico,72,186,Striker,Italy,33,Orthodox,74,Middleweight,2020-08-29,Zak Cummings,L,Decision - Unanimous,3,05:00,UFC Fight Night: Smith vs. Rakic,12,4,0,Striker,USA,38,Southpaw,75,Middleweight,25.22337962962963,75.0,29,8,2020,23,7,0,76.66666666666667
283,Alessio Di Chirico,72,186,Striker,Italy,33,Orthodox,74,Middleweight,2019-06-22,Kevin Holland,L,Decision - Unanimous,3,05:00,UFC Fight Night: Moicano vs. The Korean Zombie,12,2,0,Kung Fu,USA,30,Orthodox,81,Middleweight,25.22337962962963,85.71428571428571,22,6,2019,15,4,0,78.94736842105263
286,Alessio Di Chirico,72,186,Striker,Italy,33,Orthodox,74,Middleweight,2017-01-28,Eric Spicely,L,Submission,1,02:14,UFC Fight Night: Shevchenko vs. Pena,10,1,0,Wrestling,USA,36,Orthodox,73,Middleweight,25.22337962962963,90.9090909090909,28,1,2017,9,2,0,81.81818181818183
309,Alessio Sakara,72,205,Striker,Italy,41,Orthodox,72,Middleweight,2011-03-03,Chris Weidman,L,Decision - Unanimous,3,05:00,UFC on Versus: Sanchez vs. Kampmann,16,7,1,Striker,USA,38,Orthodox,78,Middleweight,27.79996141975309,66.66666666666666,3,3,2011,4,0,0,100.0
334,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2022-12-17,Julian Erosa,W,KO/TKO,1,03:04,UFC Fight Night: Cannonier vs. Strickland,19,13,1,Freestyle,USA,33,Southpaw,74,Featherweight,20.803061224489795,57.57575757575758,17,12,2022,28,10,0,73.68421052631578
335,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2022-03-12,Sodiq Yusuff,L,Decision - Unanimous,3,05:00,UFC Fight Night: Santos vs. Ankalaev,19,12,1,Striker,Nigeria,29,Orthodox,71,Featherweight,20.803061224489795,59.375,12,3,2022,11,2,0,84.61538461538461
336,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2021-10-23,SeungWoo Choi,W,Submission,2,03:31,UFC Fight Night: Costa vs. Vettori,18,12,1,Mixed Martial Artist,Korea,30,Orthodox,74,Featherweight,20.803061224489795,58.06451612903226,23,10,2021,10,3,0,76.92307692307693
337,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2021-02-27,Kevin Croom,W,Decision - Unanimous,3,05:00,UFC Fight Night: Rozenstruik vs. Gane,17,12,1,Mixed Martial Artist,USA,35,Orthodox,73,Lightweight,20.803061224489795,56.666666666666664,27,2,2021,21,12,1,61.76470588235294
338,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2020-08-29,Austin Springer,W,Submission,1,03:38,UFC Fight Night: Smith vs. Rakic,16,12,1,Freestyle,USA,35,Orthodox,71,Featherweight,20.803061224489795,55.172413793103445,29,8,2020,12,3,0,80.0
340,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2019-07-20,Steven Peterson,W,Decision - Unanimous,3,05:00,UFC Fight Night: Dos Anjos vs. Edwards,14,12,1,Striker,USA,32,Orthodox,70,Featherweight,20.803061224489795,51.85185185185185,20,7,2019,17,8,0,68.0
342,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2018-07-06,Martin Bravo,W,Decision - Split,3,05:00,The Ultimate Fighter 27 Finale,13,11,1,"Wrestling, Boxing",Mexico,29,Southpaw,71,Lightweight,20.803061224489795,52.0,6,7,2018,12,1,0,92.3076923076923
346,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2016-08-06,Yair Rodriguez,L,Decision - Split,5,05:00,UFC Fight Night: Rodriguez vs. Caceres,12,8,1,Striker,Mexico,30,Orthodox,71,Featherweight,20.803061224489795,57.14285714285714,6,8,2016,10,1,0,90.9090909090909
349,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2015-06-06,Francisco Rivera,L,KO/TKO,1,00:21,UFC Fight Night: Boetsch vs. Henderson,10,7,1,Striker,USA,41,Orthodox,71,Bantamweight,20.803061224489795,55.55555555555556,6,6,2015,10,4,1,66.66666666666666
351,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2014-07-05,Urijah Faber,L,Submission,3,01:09,UFC 175: Weidman vs. Machida,10,5,1,Striker,USA,43,Orthodox,67,Bantamweight,20.803061224489795,62.5,5,7,2014,30,7,0,81.08108108108108
352,Alex Caceres,70,145,Freestyle,USA,34,Southpaw,73,Featherweight,2014-01-25,Sergio Pettis,W,Submission,3,04:39,UFC on Fox: Henderson vs. Thomson,9,5,1,Wrestling,USA,29,Orthodox,69,Flyweight,20.803061224489795,60.0,25,1,2014,10,0,0,100.0
368,Alex Da Silva,68,155,Mixed Martial Artist,Brazil,26,Orthodox,73,Lightweight,2022-06-04,Joe Solecki,L,Decision - Majority,3,05:00,UFC Fight Night: Volkov vs. Rozenstruik,21,3,0,Mixed Martial Artist,USA,29,Orthodox,70,Lightweight,23.565095155709344,87.5,4,6,2022,11,3,0,78.57142857142857
369,Alex Da Silva,68,155,Mixed Martial Artist,Brazil,26,Orthodox,73,Lightweight,2020-09-26,Brad Riddell,L,Decision - Unanimous,3,05:00,UFC 253: Adesanya vs. Costa,21,2,0,Striker,New Zealand,31,Orthodox,71,Lightweight,23.565095155709344,91.30434782608695,26,9,2020,8,1,0,88.88888888888889
393,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2022-12-10,Santiago Ponzinibbio,L,KO/TKO,3,02:29,UFC 282: Blachowicz vs. Ankalaev,22,7,1,Kung Fu,Argentina,36,Orthodox,73,Welterweight,25.102162269390995,73.33333333333333,10,12,2022,29,6,0,82.85714285714286
394,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2022-07-30,Matthew Semelsberger,W,Decision - Unanimous,3,05:00,UFC 277: Peña vs. Nunes 2,21,7,1,Freestyle,USA,30,Switch,75,Welterweight,25.102162269390995,72.41379310344827,30,7,2022,10,3,0,76.92307692307693
397,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2021-05-08,Donald Cerrone,W,KO/TKO,1,04:40,UFC Fight Night: Rodriguez vs. Waterson,18,7,1,Wrestling,USA,39,Orthodox,73,Lightweight,25.102162269390995,69.23076923076923,8,5,2021,36,15,2,67.9245283018868
398,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2020-12-19,Anthony Pettis,L,Decision - Unanimous,3,05:00,UFC Fight Night: Thompson vs. Neal,18,6,1,Striker,USA,36,Orthodox,73,Lightweight,25.102162269390995,72.0,19,12,2020,23,10,0,69.6969696969697
400,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2020-02-08,Khaos Williams,L,KO/TKO,1,00:27,UFC 247: Jones vs. Reyes,17,5,1,Striker,USA,28,Orthodox,77,Welterweight,25.102162269390995,73.91304347826086,8,2,2020,9,1,0,90.0
401,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2019-10-12,Max Griffin,W,Decision - Unanimous,3,05:00,UFC Fight Night: Joanna vs. Waterson,16,5,1,Striker,USA,37,Orthodox,76,Welterweight,25.102162269390995,72.72727272727273,12,10,2019,15,6,0,71.42857142857143
403,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2018-11-24,Song Kenan,W,Decision - Unanimous,3,05:00,UFC Fight Night: Blaydes vs. Ngannou 2,14,5,1,Mixed Martial Artist,China,32,Orthodox,71,Welterweight,25.102162269390995,70.0,24,11,2018,14,4,0,77.77777777777779
404,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2018-07-28,Jordan Mein,L,Decision - Unanimous,3,05:00,UFC Fight Night: Alvarez vs. Poirier 2,14,4,1,Striker,Canada,33,Orthodox,73,Welterweight,25.102162269390995,73.68421052631578,28,7,2018,30,12,0,71.42857142857143
406,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2017-09-22,Keita Nakamura,L,Decision - Split,3,05:00,UFC Fight Night: Saint Preux vs. Okami,13,3,1,Striker,Japan,38,Southpaw,73,Welterweight,25.102162269390995,76.47058823529412,22,9,2017,32,8,3,74.4186046511628
410,Alex Morono,71,180,Striker,USA,32,Orthodox,72,Welterweight,2015-12-04,Derrick Krantz,W,Submission (Guillotine),1,04:29,LFC 49: Legacy Fighting Championship 49,10,3,0,Striker,USA,35,Orthodox,72,Welterweight,25.102162269390995,76.92307692307693,4,12,2015,17,8,0,68.0
429,Alex Nicholson,76,215,Striker,USA,32,Orthodox,81,Middleweight,2018-07-19,Philipe Lins,L,TKO (Punches),2,03:39,PFL 4: Long Island,12,5,0,Striker,Brazil,37,Orthodox,78,Heavyweight,26.167763157894736,70.58823529411765,19,7,2018,10,3,0,76.92307692307693
436,Alex Nicholson,76,215,Striker,USA,32,Orthodox,81,Middleweight,2017-05-28,Jack Hermansson,L,KO/TKO,1,02:00,UFC Fight Night: Gustafsson vs. Teixeira,7,3,0,Mixed Martial Artist,Norway,34,Orthodox,77,Middleweight,26.167763157894736,70.0,28,5,2017,14,3,0,82.35294117647058
438,Alex Nicholson,76,215,Striker,USA,32,Orthodox,81,Middleweight,2016-07-13,Devin Clark,W,KO/TKO,1,04:57,UFC Fight Night: McDonald vs. Lineker,6,2,0,Mixed Martial Artist,USA,32,Orthodox,75,Light Heavyweight,26.167763157894736,75.0,13,7,2016,6,0,0,100.0
439,Alex Nicholson,76,215,Striker,USA,32,Orthodox,81,Middleweight,2016-02-06,Misha Cirkunov,L,Submission,2,01:28,UFC Fight Night: Hendricks vs. Thompson,6,1,0,Striker,Canada,35,Orthodox,77,Light Heavyweight,26.167763157894736,85.71428571428571,6,2,2016,10,2,0,83.33333333333334
443,Alex Nicholson,76,215,Striker,USA,32,Orthodox,81,Middleweight,2014-12-05,Chase Sherman,W,KO/TKO,1,-,Square Ring Promotions: Island Fights 31,2,1,0,Striker,USA,33,Orthodox,78,Heavyweight,26.167763157894736,66.66666666666666,5,12,2014,5,0,0,100.0
451,Alex Oliveira,71,170,Striker,Brazil,34,Orthodox,76,Welterweight,2022-03-05,Kevin Holland,L,KO/TKO,2,00:38,UFC 272: Covington vs. Masvidal,22,11,3,Kung Fu,USA,30,Orthodox,81,Middleweight,23.70759769886927,61.111111111111114,5,3,2022,21,7,1,72.41379310344827
453,Alex Oliveira,71,170,Striker,Brazil,34,Orthodox,76,Welterweight,2021-04-24,Randy Brown,L,Submission,1,02:50,UFC 261: Usman vs. Masvidal 2,22,9,3,Mixed Martial Artist,Jamaica,32,Orthodox,78,Welterweight,23.70759769886927,64.70588235294117,24,4,2021,12,4,0,75.0
