,Fighter,Height,Weight(lbs),Style(op),Country,Age,Stance,Reach,WT_class,Date,Opponent,Res.,Decision,Rnd,Time,Event,W,L,D,Oppo_Style(op),Oppo_Country,Oppo_Age,Oppo_Stance,Oppo_Reach,Oppo_WT_class,BMI,Win_Percentage,Day,Month,Year,Oppo_W,Oppo_L,Oppo_D,Oppo_Win_Percentage
4435,Erik Silva,69,146,Mixed Martial Artist,Venezuela,35,Orthodox,71,Featherweight,2022-12-10,TJ Brown,L,Submission,3,03:41,UFC 282: Blachowicz vs. Ankalaev,9,1,0,Mixed Martial Artist,USA,32,Switch,72,Featherweight,21.558076034446543,90.0,10,12,2022,16,9,0,64.0
4448,Erin Blanchfield,64,125,Striker,USA,23,Orthodox,66,Women's Bantamweight,2021-12-11,Miranda Maverick,W,Decision - Unanimous,3,05:00,UFC 269: Oliveira vs. Poirier,7,1,0,Muay Thai,USA,25,Southpaw,65,Women's Flyweight,21.453857421875,87.5,11,12,2021,11,3,0,78.57142857142857
4451,Erin Blanchfield,64,125,Striker,USA,23,Orthodox,66,Women's Bantamweight,2020-02-07,Victoria Leonardo,W,KO/TKO,2,02:06,Invicta FC 39: Frey vs. Cummins 2,4,1,0,Kung Fu,USA,32,Orthodox,64,Women's Flyweight,21.453857421875,80.0,7,2,2020,6,2,0,75.0
4453,Erin Blanchfield,64,125,Striker,USA,23,Orthodox,66,Women's Bantamweight,2019-02-15,Tracy Cortez,L,Decision - Split,3,05:00,Invicta FC 34: Porto vs. Gonzalez,3,0,0,Mixed Martial Artist,USA,29,Orthodox,65,Women's Flyweight,21.453857421875,100.0,15,2,2019,4,1,0,80.0
4454,Erin Blanchfield,64,125,Striker,USA,23,Orthodox,66,Women's Bantamweight,2018-11-16,Kay Hansen,W,Decision - Majority,3,05:00,Invicta FC 32: Spencer vs. Sorenson,2,0,0,Striker,USA,23,Orthodox,63,Women's Strawweight,21.453857421875,100.0,16,11,2018,3,1,0,75.0
4458,Fabio Cherant,73,205,Kick Boxing,USA,28,Southpaw,74,Light Heavyweight,2021-08-21,William Knight,L,KO/TKO,1,03:58,UFC Fight Night: Cannonier vs. Gastelum,7,2,0,Wrestling,USA,34,Orthodox,73,Light Heavyweight,27.043535372490147,77.77777777777779,21,8,2021,9,2,0,81.81818181818183
4469,Fabio Maldonado,73,239,Striker,Brazil,42,Orthodox,75,Heavyweight,2019-10-12,Jiří Procházka,L,KO,1,01:49,Rizin FF: Rizin Fighting Federation 19,24,13,0,Striker,Czech Republic,30,Orthodox,80,Light Heavyweight,31.528804653781194,64.86486486486487,12,10,2019,24,3,1,85.71428571428571
4475,Fabio Maldonado,73,239,Striker,Brazil,42,Orthodox,75,Heavyweight,2016-06-17,Fedor Emelianenko,L,Decision - Majority,3,05:00,EFN 50: Emelianenko vs. Maldonado,22,9,0,Wrestling,Russia,46,Orthodox,74,Heavyweight,31.528804653781194,70.96774193548387,17,6,2016,35,4,1,87.5
4477,Fabio Maldonado,73,239,Striker,Brazil,42,Orthodox,75,Heavyweight,2015-04-25,Quinton Jackson,L,Decision - Unanimous,3,05:00,UFC 186: Johnson vs. Horiguchi,22,7,0,Striker,USA,44,Orthodox,73,Light Heavyweight,31.528804653781194,75.86206896551724,25,4,2015,35,11,0,76.08695652173914
4479,Fabio Maldonado,73,239,Striker,Brazil,42,Orthodox,75,Heavyweight,2014-05-31,Stipe Miocic,L,KO/TKO,1,00:35,TUF Brazil Finale: Miocic vs. Maldonado,21,6,0,Wrestling,USA,40,Orthodox,80,Heavyweight,31.528804653781194,77.77777777777779,31,5,2014,11,1,0,91.66666666666666
4480,Fabio Maldonado,73,239,Striker,Brazil,42,Orthodox,75,Heavyweight,2014-03-23,Gian Villante,W,Decision - Unanimous,3,05:00,UFC Fight Night: Shogun vs. Henderson,20,6,0,Striker,USA,37,Orthodox,76,Light Heavyweight,31.528804653781194,76.92307692307693,23,3,2014,11,4,0,73.33333333333333
4483,Fabio Maldonado,73,239,Striker,Brazil,42,Orthodox,75,Heavyweight,2012-10-13,Glover Teixeira,L,TKO - Doctor's Stoppage,2,05:00,UFC 153: Silva vs. Bonnar,18,5,0,Striker,Brazil,43,Orthodox,76,Light Heavyweight,31.528804653781194,78.26086956521739,13,10,2012,18,2,0,90.0
