Reach,Name,WT_class
"73""",Gregory Babene,Middleweight
"74""",Abraham Bably,Heavyweight
"73""",Itso Babulaidze,Welterweight
"74""",Anthony Baccam,Lightweight
"74""",Niklas Backstrom,Featherweight
"74""",Seth Baczynski,Welterweight
"73""",Ryan Bader,Light Heavyweight
"74.5""",Miguel Baeza,Welterweight
"66""",Ali Bagautinov,Flyweight
"75""",Mehdi Baghdad,Lightweight
"70""",Melsik Baghdasaryan,Featherweight
"73""",Siyar Bahadurzada,Welterweight
"75.5""",Ignacio Bahamondes,Welterweight
"79""",Yannick Bahati,Light Heavyweight
"69""",Jordan Bailey,Lightweight
"70""",Soren Bak,Lightweight
"70""",Gary Balletto Jr.,Welterweight
"78""",Oluwale Bamgbose,Middleweight
"70""",Ricky Bandejas,Bantamweight
"70""",Marcin Bandel,Lightweight
"71.5""",Humberto Bandenay,Featherweight
"71""",Tae Hyun Bang,Lightweight
"71.5""",Carrington Banks,Lightweight
"69""",Shauna Bannon,Women's Flyweight
"63""",Antonio Banuelos,Flyweight
"70""",Shamil Banukayev,Bantamweight
"70""",Renan Barao,Featherweight
"65""",Maycee Barber,Women's Flyweight
"65""",Miranda Barber,Women's Lightweight
"72.5""",Bryan Barberena,Welterweight
"74""",Vojto Barborik,Lightweight
"74""",Lucas Barbosa,Welterweight
"72""",Rafael Barbosa,Featherweight
"75""",Edson Barboza,Featherweight
"67""",Raoni Barcelos,Bantamweight
"72""",Richard Barnard,Bantamweight
"77.5""",Luke Barnatt,Middleweight
"71""",James Barnes,Bantamweight
"76""",Shonte Barnes,Middleweight
"75""",Chris Barnett,Heavyweight
"78""",Josh Barnett,Heavyweight
"72""",Phil Baroni,Welterweight
"73""",Peter Barrett,Featherweight
"74""",Marc-Andre Barriault,Middleweight
"74""",Wilker Barros,Welterweight
"75""",Francimar Barroso,Light Heavyweight
"74""",Connor Barry,Lightweight
"72""",Dean Barry,Welterweight
"74.5""",Pat Barry,Heavyweight
"68""",Jordan Barton,Featherweight
"70""",Enrique Barzola,Bantamweight
"71""",Farid Basharat,Bantamweight
"69""",Javid Basharat,Bantamweight
"67.8""",Shayna Baszler,Women's Bantamweight
"60""",Kyra Batara,Women's Flyweight
"71.5""",Bahatebole Batebolati,Welterweight
"73.5""",Jaylon Bates,Bantamweight
"68.1""",Herdeson Batista,Lightweight
"77""",Bryan Battle,Middleweight
"79""",Alan Baudot,Light Heavyweight
"69""",Mario Bautista,Bantamweight
"73""",Tim Bazer,Welterweight
"68.5""",Jesse Bazzi,Bantamweight
"69""",Chris Beal,Bantamweight
"78""",Donovan Beard,Middleweight
"74""",Salvador Becerra,Lightweight
"66""",Ariel Beck,Women's Flyweight
"75""",Eric Bedard,Heavyweight
"71""",Johnny Bedford,Bantamweight
"66""",Allan Begosso,Bantamweight
"70""",Mirsad Bektic,Featherweight
"68""",Diana Belbita,Women's Bantamweight
"75""",Alan Belcher,Middleweight
"74""",Vitor Belfort,Middleweight
"67""",Cass Bell,Bantamweight
"75""",Rodolfo Bellato,Light Heavyweight
"74.5""",Danilo Belluardo,Lightweight
"69.5""",Marco Beltran,Flyweight
"65""",Joseph Benavidez,Flyweight
"71""",Gabriel Benitez,Featherweight
"68""",Mokhtar Benkaci,Featherweight
"66""",DeAnna Bennett,Women's Flyweight
"73""",Lance Benoist,Welterweight
"68.5""",Ryan Benoit,Flyweight
"69""",Alan Benson,Light Heavyweight
"76""",Kenneth Bergh,Light Heavyweight
"73.5""",Keith Berish,Middleweight
"73""",Mukhamed Berkhamov,Welterweight
"66""",Dennis Bermudez,Featherweight
"71.5""",Manny Bermudez,Bantamweight
"68""",Talita Bernardo,Women's Bantamweight
"64""",Lucie Bertaud,Women's Flyweight
"70.5""",Matt Bessette,Featherweight
"76""",Khadzhi Bestaev,Middleweight
"73.5""",Ken Beverly,Lightweight
"75.5""",Arjan Bhullar,Heavyweight
"78""",KB Bhullar,Middleweight
"65.5""",Magomed Bibulatov,Flyweight
"71""",David Bielkheden,Lightweight
"71""",Lukasz Bienkowski,Middleweight
"66""",Luthando Biko,Flyweight
"68""",Blake Bilder,Bantamweight
"75""",Jonas Bilharinho,Featherweight
"71""",Xie Bin,Featherweight
"69""",Anthony Birchak,Bantamweight
"75.5""",Michael Bisping,Middleweight
"75""",Caio Bittencourt,Middleweight
"74""",Simon Biyong,Light Heavyweight
"78""",Jan Blachowicz,Light Heavyweight
"73""",Brad Blackburn,Welterweight
"75""",Sherrard Blackledge,Lightweight
"72.5""",Da'Mon Blackshear,Bantamweight
"66""",Erin Blanchfield,Women's Bantamweight
"71""",Maximo Blanco,Featherweight
"80""",Curtis Blaydes,Heavyweight
"71""",Tereza Bleda,Women's Strawweight
"64.5""",Arlene Blencowe,Women's Featherweight
"69""",Byron Bloodworth,Bantamweight
"64.5""",Meng Bo,Women's Strawweight
"76""",Dashawn Boatwright,Light Heavyweight
"75""",Mark Bocek,Lightweight
"71""",Kyle Bochniak,Featherweight
"81""",James Bochnovic,Light Heavyweight
"71""",Alex Bodnar,Featherweight
"70""",Kevin Boehm,Featherweight
"74""",Tim Boetsch,Middleweight
"72""",Galore Bofando,Welterweight
"73.5""",Roman Bogatov,Lightweight
"71""",Mandy Bohm,Women's Flyweight
"72""",Jacob Bohn,Lightweight
"67""",Saba Bolaghi,Featherweight
"70.5""",Gaston Bolanos,Featherweight
"69""",Denys Bondar,Flyweight
"72""",Gabriel Bonfim,Welterweight
"71.5""",Ismael Bonfim,Lightweight
"79""",Stephan Bonnar,Light Heavyweight
"67""",Rogerio Bontorin,Flyweight
"63""",Ray Borg,Bantamweight
"70.5""",Adam Borics,Featherweight
"72""",Calen Born,Welterweight
"75""",Caio Borralho,Middleweight
"78""",Zachary Borrego,Middleweight
"69""",Viacheslav Borshchev,Lightweight
"75.5""",Tanner Boser,Heavyweight
"72""",Steve Bosse,Light Heavyweight
"67""",Poliana Botelho,Women's Flyweight
"71""",Hanru Botha,Lightweight
"70""",Pierre Botha,Featherweight
"79""",Sofiane Boukichou,Heavyweight
"78""",Kyron Bowen,Middleweight
"67""",Cheyanne Bowers,Women's Bantamweight
"70.5""",Brian Bowles,Bantamweight
"68""",Roger Bowling,Lightweight
"69""",Anvar Boynazarov,Featherweight
"80""",Filip Bradaric,Heavyweight
"72""",Sean Brady,Welterweight
"71""",Queila Braga,Women's Bantamweight
"72""",Ramiz Brahimaj,Welterweight
"78""",David Branch,Middleweight
"68.5""",Diego Brandao,Featherweight
"65.5""",Bruna Brasil,Women's Flyweight
"71.5""",Martin Bravo,Lightweight
"63""",Gloria Isabel Bravo Barrios,Women's Atomweight
"70""",Mike Breeden,Lightweight
"73""",Tom Breese,Middleweight
"71""",Lucas Brennan,Bantamweight
"70""",Charlie Brenneman,Lightweight
"67""",Marcos Breno,Bantamweight
"74""",Ben Brewer,Middleweight
"76""",Marcos Brigagao,Light Heavyweight
"71.5""",Jason Brilz,Light Heavyweight
"71""",Marcus Brimage,Bantamweight
"69""",Henry Briones,Bantamweight
"72""",Joanderson Brito,Featherweight
"77""",Antwain Britt,Middleweight
"76""",Devon Brock,Welterweight
"62""",Jarred Brooks,Flyweight
"73""",Will Brooks,Lightweight
"74""",Rob Broughton,Heavyweight
"74""",Chris Brown,Welterweight
"68.5""",Damien Brown,Lightweight
"71""",Humberto Brown,Featherweight
"75""",Matt Brown,Welterweight
"68""",Matt Brown,Flyweight
"70""",Mike Brown,Featherweight
"78""",Randy Brown,Welterweight
"74""",Shawn Brown,Lightweight
"72""",TJ Brown,Featherweight
"72.5""",Nick Browne,Lightweight
"79""",Travis Browne,Heavyweight
"72""",Cody Brundage,Light Heavyweight
"70""",Fernando Bruno,Featherweight
"77""",Derek Brunson,Middleweight
"78""",Lukasz Brzeski,Heavyweight
"75""",Daiqwon Buckley,Heavyweight
"76""",Joaquin Buckley,Middleweight
"77""",Martin Buday,Heavyweight
"70""",Julia Budd,Women's Lightweight
"75""",Dylan Budka,Middleweight
"66.5""",Mayra Bueno Silva,Women's Flyweight
"78""",Modestas Bukauskas,Middleweight
"70.5""",Ilias Bulaid,Featherweight
"66""",Shawn Bunch,Bantamweight
"71""",Felipe Bunes,Flyweight
"72.5""",Chris Bungard,Lightweight
"75.5""",Shane Burgos,Featherweight
"72""",Joshua Burkman,Welterweight
"74""",Justin Burlinson,Welterweight
"68""",Mads Burnell,Featherweight
"71""",Gilbert Burns,Welterweight
"73.5""",Herbert Burns,Featherweight
"74""",Kevin Burns,Welterweight
"71""",Nah-Shon Burrell,Welterweight
"73.5""",Bubba Bush,Middleweight
"73""",Dakota Bush,Lightweight
"74""",Branko Busick,Middleweight
"74""",Jason Butcher,Light Heavyweight
"67""",JP Buys,Flyweight
"70""",Dennis Buzukja,Featherweight
"73""",Charles Byrd,Middleweight
"73""",Yan Cabral,Lightweight
"73.5""",Alex Caceres,Featherweight
"68""",Vince Cachero,Featherweight
"65""",Priscila Cachoeira,Women's Flyweight
"71""",Guilherme Cadena,Welterweight
"73""",Darrion Caldwell,Bantamweight
"62""",Nicolle Caliari,Women's Flyweight
"64""",Cynthia Calvillo,Women's Flyweight
"73""",Frank Camacho,Lightweight
"79""",Bourama Camara,Welterweight
"71.5""",Fabricio Camoes,Lightweight
"78""",Brian Camozzi,Welterweight
"78""",Chris Camozzi,Middleweight
"72.5""",Charlie Campbell,Lightweight
"68""",Craig Campbell,Lightweight
"66""",Johnny Campbell,Bantamweight
"74""",Kitt Campbell,Welterweight
"71""",Shane Campbell,Lightweight
"68.5""",Derek Campos,Lightweight
"70""",Will Campuzano,Flyweight
"74""",Aleksa Camur,Light Heavyweight
"66""",Chico Camus,Flyweight
"68""",Carlos Candelario,Flyweight
"68""",Guido Cannetti,Bantamweight
"77.5""",Jared Cannonier,Middleweight
"75""",Steve Cantwell,Middleweight
"64""",Giovanna Canuto,Women's Strawweight
"79""",Bruno Cappelozza,Heavyweight
"71""",Karlo Caput,Lightweight
"70""",Phil Caracappa,Bantamweight
"68""",Bryan Caraway,Bantamweight
"67""",Daniel Carey,Featherweight
"63.5""",Chris Cariaso,Flyweight
"76""",Alan Carlos,Middleweight
"79""",Antonio Carlos Jr.,Light Heavyweight
"71.5""",Spike Carlyle,Lightweight
"78""",Francis Carmont,Middleweight
"66""",Liz Carmouche,Women's Flyweight
"74.5""",Roan Carneiro,Welterweight
"61.5""",Ariane Carnelossi,Women's Flyweight
"69""",Luana Carolina,Women's Flyweight
"68""",Clayton Carpenter,Flyweight
"74""",Cain Carrizosa,Lightweight
"68""",Jack Cartwright,Bantamweight
"72""",Tony Caruso,Welterweight
"70""",Antonio Carvalho,Featherweight
"70.5""",Pedro Carvalho,Featherweight
"78""",Rafael Carvalho,Light Heavyweight
"80""",Shane Carwin,Heavyweight
"73""",Johnny Case,Lightweight
"67""",Cortney Casey,Women's Flyweight
"77""",Kevin Casey,Middleweight
"71""",John Castaneda,Bantamweight
"65.5""",Yasmin Castanho,Women's Strawweight
"71""",Danny Castillo,Lightweight
"66""",Petra Castkova,Women's Flyweight
"72.5""",Nick Catone,Middleweight
"74.5""",Sullivan Cauley,Light Heavyweight
"73""",Rafael Cavalcante,Light Heavyweight
"69""",Megan Cawley,Women's Flyweight
"79""",Magnus Cedenblad,Middleweight
"69.5""",Yosdenis Cedeno,Lightweight
"64""",Henry Cejudo,Bantamweight
"78""",Adam Cella,Welterweight
"74""",Vinicius Cenci,Lightweight
"73""",Donald Cerrone,Lightweight
"62.5""",Melissa Cervantes,Women's Strawweight
"69.5""",Lee Chadwick,Light Heavyweight
"75""",Luan Chagas,Welterweight
"72""",Edgar Chairez,Flyweight
"63""",Alex Chambers,Women's Strawweight
"68""",Chelsea Chandler,Women's Bantamweight
"71.5""",Michael Chandler,Lightweight
"72""",Ryan Charlebois,Welterweight
"71""",Mauro Chaulet,Featherweight
"67""",Danny Chavez,Featherweight
"70""",Emilio Chavez,Featherweight
"70""",Ernest Chavez,Featherweight
"71.5""",Gabriel Checco,Middleweight
"71""",Charles Cheeks III,Lightweight
"74""",Fabio Cherant,Light Heavyweight
"69.5""",Mark Cherico,Bantamweight
"72""",Macy Chiasson,Women's Bantamweight
"64""",Jennifer Chieng,Women's Strawweight
"75.5""",Michael Chiesa,Welterweight
"74""",Giga Chikadze,Featherweight
"71""",Jake Childers,Lightweight
"75""",Khamzat Chimaev,Welterweight
"75""",Alex Chizov,Lightweight
"70""",Dooho Choi,Featherweight
"64""",SeungGuk Choi,Flyweight
"74.5""",SeungWoo Choi,Featherweight
"73""",Levan Chokheli,Welterweight
"74""",John Cholish,Lightweight
"70""",Ryo Chonan,Welterweight
"68""",Katlyn Chookagian,Women's Flyweight
"76""",Will Chope,Featherweight
"76""",Joachim Christensen,Light Heavyweight
"72""",Anthony Christodoulou,Lightweight
"72""",Cameron Church,Lightweight
"74.5""",Ibragim Chuzhigaev,Light Heavyweight
"62""",Hannah Cifers,Women's Strawweight
"77""",Misha Cirkunov,Light Heavyweight
"75""",Devin Clark,Light Heavyweight
"69.5""",Dominic Clark,Lightweight
"64.5""",Heather Clark,Women's Strawweight
"64""",Jessica-Rose Clark,Women's Flyweight
"70""",Thai Clark,Featherweight
"66""",Ciaran Clarke,Featherweight
"73""",Mitch Clarke,Lightweight
"77""",Deon Clash,Light Heavyweight
"74.5""",Lucas Clay,Lightweight
"72.5""",Rich Clementi,Lightweight
"70""",Chris Clements,Welterweight
"77""",Rakim Cleveland,Heavyweight
"65.5""",Mark Climaco,Flyweight
"71""",Brittney Cloudy,Women's Bantamweight
"66""",Chantel Coates,Women's Flyweight
"69""",Mark Coates,Bantamweight
"67.5""",Marloes Coenen,Women's Featherweight
"69""",Felipe Colares,Bantamweight
"75""",Chandler Cole,Heavyweight
"75""",Mark Coleman,Light Heavyweight
"69.5""",Archie Colgan,Lightweight
"74""",Clay Collard,Featherweight
"65""",Jamie Colleen Miller,Women's Strawweight
"78.5""",Jake Collier,Light Heavyweight
"80.5""",Christian Colombo,Heavyweight
"72""",Willian Colorado,Bantamweight
"75.5""",Daniel Compton,Middleweight
"75.5""",Carlos Condit,Welterweight
"61""",Montserrat Conejo,Women's Strawweight
"68""",Tristan Connelly,Welterweight
"64""",Amanda Cooper,Women's Strawweight
"71""",Brett Cooper,Welterweight
"70""",Ray Cooper III,Welterweight
"72""",Chris Cope,Welterweight
"75""",Josh Copeland,Heavyweight
"77""",Michael Cora,Welterweight
"68""",Akira Corassani,Featherweight
"64""",Reina Cordoba,Women's Flyweight
"67""",Alden Coria,Flyweight
"72.5""",Daniel Cormier,Heavyweight
"64""",Katherine Corogenes,Women's Flyweight
"70""",Henry Corrales,Featherweight
"64""",Bethe Correia,Women's Bantamweight
"78""",Waldo Cortes-Acosta,Heavyweight
"68""",Reyes Cortez,Bantamweight
"65.5""",Tracy Cortez,Women's Flyweight
"71""",Louis Cosce,Welterweight
"71""",Orion Cosce,Welterweight
"67""",Alessandro Costa,Flyweight
"71""",Melquizael Costa,Lightweight
"72""",Paulo Costa,Middleweight
"73""",Randy Costa,Bantamweight
"72""",Stephen Costello,Welterweight
"72""",Oscar Cota,Heavyweight
"75""",Patrick Cote,Welterweight
"72""",Romero Cotton,Middleweight
"71""",JC Cottrell,Lightweight
"76""",Rashad Coulter,Heavyweight
"75""",Randy Couture,Light Heavyweight
"73""",Ryan Couture,Lightweight
"72""",Colby Covington,Welterweight
"67""",Hailey Cowan,Women's Bantamweight
"69.5""",Nathan Coy,Welterweight
"76""",Andrew Craig,Welterweight
"76""",Paul Craig,Light Heavyweight
"75""",Tim Credeur,Middleweight
"73""",Kevin Croom,Lightweight
"72""",Kenneth Cross,Lightweight
"76.5""",Allen Crowder,Heavyweight
"71""",Rusty Crowder,Lightweight
"72""",Daron Cruickshank,Lightweight
"68""",Kyle Crutchmer,Welterweight
"74""",Jimmy Crute,Light Heavyweight
"78""",Aalon Cruz,Featherweight
"68""",Dominick Cruz,Bantamweight
"68""",Wascar Cruz,Flyweight
"73""",Josh Culibao,Lightweight
"75""",Zak Cummings,Middleweight
"76.5""",Patrick Cummins,Light Heavyweight
"72""",Tee Cummins,Middleweight
"74.5""",Luke Cummo,Welterweight
"77""",Alton Cunningham,Light Heavyweight
"78""",Jon Cunningham,Heavyweight
"63""",Santo Curatolo,Flyweight
"69""",Jeff Curran,Bantamweight
"65""",Kailin Curran,Women's Strawweight
"76""",Mark Currier,Heavyweight
"75.5""",Chris Curtis,Welterweight
"74.5""",Jeremiah Curtright,Welterweight
"72""",Gui Cury,Featherweight
"75""",Ion Cutelaba,Light Heavyweight
"68""",Cris Cyborg,Women's Featherweight
"71.5""",Michael Cyr,Bantamweight
"73""",Alex Da Silva,Lightweight
"70""",Daniel Da Silva,Flyweight
"76.5""",Henrique da Silva,Light Heavyweight
"74.5""",Nicolas Dalby,Welterweight
"76""",Paul Daley,Welterweight
"64""",Aisling Daly,Women's Strawweight
"69""",Leonardo Damiani,Welterweight
"71""",Rodrigo Damm,Lightweight
"70""",Batgerel Danaa,Bantamweight
"70""",Cindy Dandois,Women's Bantamweight
"74.5""",Jarjis Danho,Heavyweight
"74.5""",Raymond Daniels,Welterweight
"72""",Dillon Danis,Welterweight
"69""",Eduardo Dantas,Featherweight
"70""",Mac Danzig,Lightweight
"68""",Karen Darabedyan,Lightweight
"72""",Beneil Dariush,Lightweight
"76""",Chris Daukaus,Heavyweight
"76""",Kyle Daukaus,Middleweight
"68""",Alexis Davis,Women's Flyweight
"70""",Alfie Davis,Lightweight
"72""",Brandon Davis,Featherweight
"66.5""",Cody Davis,Flyweight
"69""",L.C. Davis,Bantamweight
"70""",Marcus Davis,Welterweight
"72.5""",Mike Davis,Featherweight
"78""",Phil Davis,Light Heavyweight
"72.5""",Travis Davis,Middleweight
