Reach,Name,WT_class
"70""",Adin Duenas,Featherweight
"78""",Todd Duffee,Heavyweight
"73""",Joe Duffy,Lightweight
"68.5""",Alexis Dufresne,Women's Bantamweight
"73""",Jessamyn Duke,Women's Bantamweight
"79""",Sedriques Dumas,Middleweight
"67""",Norma Dumont,Women's Featherweight
"71.5""",Chris Duncan,Lightweight
"73""",Nainoa Dung,Lightweight
"70""",Evan Dunham,Lightweight
"77.5""",Roland Dunlap,Middleweight
"72""",Chris Dunn,Featherweight
"68""",Acoidan Duque,Welterweight
"68""",Tom Duquesnoy,Bantamweight
"75""",Albert Duraev,Middleweight
"69""",Reuben Duran,Bantamweight
"67""",Cody Durden,Bantamweight
"68""",Merab Dvalishvili,Bantamweight
"68""",David Dvorak,Flyweight
"76.5""",Matt Dwyer,Welterweight
"69.5""",Rolando Dy,Bantamweight
"74""",Cody East,Heavyweight
"70""",Mike Easton,Bantamweight
"72""",Marino Eatman,Heavyweight
"73""",Brian Ebersole,Welterweight
"74.5""",Johnny Eblen,Middleweight
"67""",Roybert Echeverria,Flyweight
"71""",Christian Eckerlin,Welterweight
"68""",Mark Eddiva,Featherweight
"68""",Frankie Edgar,Bantamweight
"78""",Abdul-Kerim Edilov,Light Heavyweight
"71""",Johnny Eduardo,Bantamweight
"72""",Adli Edwards,Featherweight
"78.5""",Christian Edwards,Light Heavyweight
"79.5""",Fabian Edwards,Middleweight
"70""",Joselyne Edwards,Women's Bantamweight
"74""",Leon Edwards,Welterweight
"72""",Te Edwards,Lightweight
"73""",Yves Edwards,Lightweight
"68""",Stephanie Egger,Women's Bantamweight
"69""",Reinaldo Ekson,Featherweight
"72""",Evan Elder,Welterweight
"64.5""",Joao Elias,Flyweight
"70""",Gláucio Eliziário,Lightweight
"72""",Brittney Elkin,Women's Lightweight
"71""",Darren Elkins,Featherweight
"65""",Bruna Ellen,Women's Flyweight
"71.5""",Jake Ellenberger,Welterweight
"72""",Joe Ellenberger,Lightweight
"71""",Cal Ellenor,Bantamweight
"66""",Tim Elliott,Flyweight
"65""",Ben Ellis,Featherweight
"62""",Lisa Ellis,Women's Strawweight
"65""",Anna Elmose,Women's Strawweight
"71""",Cameron Else,Bantamweight
"68""",Joey Elzea,Flyweight
"76""",Ramazan Emeev,Welterweight
"74""",Fedor Emelianenko,Heavyweight
"70""",Rob Emerson,Bantamweight
"74""",Jamall Emmers,Featherweight
"70""",Josh Emmett,Featherweight
"69""",Kolton Englund,Lightweight
"76.5""",Oliver Enkamp,Welterweight
"64""",Ian Entwistle,Bantamweight
"78""",Andy Enz,Middleweight
"68""",Gustavo Erak,Bantamweight
"73""",Konstantin Erokhin,Heavyweight
"74.5""",Julian Erosa,Featherweight
"73""",Jarno Errens,Featherweight
"75""",Ivan Erslan,Light Heavyweight
"75.5""",Chel Erwin-Davis,Welterweight
"72""",Cole Escovedo,Bantamweight
"70""",Efrain Escudero,Lightweight
"67""",Lom-Ali Eskijew,Featherweight
"63""",Carla Esparza,Women's Strawweight
"80""",Juan Espino,Heavyweight
"69""",Jordan Espinosa,Flyweight
"74""",Elvin Espinoza,Lightweight
"64""",Jodie Esquibel,Women's Strawweight
"62.5""",Itzel Esquivel,Women's Strawweight
"69""",Rafael Estevam,Flyweight
"69""",Filipe Esteves,Flyweight
"70""",Arthur Estrazulas,Welterweight
"68""",Achilles Estremadura,Lightweight
"68""",Shaun Etchell,Flyweight
"73""",Terry Etim,Lightweight
"67""",Sijara Eubanks,Women's Bantamweight
"75""",Rashad Evans,Middleweight
"67""",Ashlee Evans-Smith,Women's Flyweight
"70""",Tonya Evinger,Women's Bantamweight
"72.5""",Movsar Evloev,Featherweight
"75""",Andre Ewell,Bantamweight
"66""",Jessica Eye,Women's Flyweight
"67""",Urijah Faber,Bantamweight
"74""",Genah Fabian,Women's Lightweight
"66.5""",Melinda Fabian,Women's Flyweight
"69""",Wagnney Fabiano,Featherweight
"75""",Bartosz Fabinski,Welterweight
"77""",Henry Fadipe,Welterweight
"76""",Joao Paulo Fagundes,Light Heavyweight
"72""",Zarah Fairn,Women's Featherweight
"74""",Rinat Fakhretdinov,Welterweight
"66""",Pedro Falcao,Bantamweight
"74""",Roman Faraldo,Welterweight
"72""",Guilherme Faria,Welterweight
"62""",Kalindra Faria,Women's Strawweight
"68""",Ary Farias,Bantamweight
"79""",Rico Farrington,Welterweight
"67""",Kelly Faszholz,Women's Bantamweight
"67""",Zamzagul Fayzallanova,Women's Lightweight
"70""",Paul Felder,Lightweight
"75""",Carlos Felipe,Heavyweight
"75""",Sean Felton,Lightweight
"65""",Rob Fenicle,Bantamweight
"77""",Kevin Ferguson,Heavyweight
"76.5""",Tony Ferguson,Lightweight
"71.5""",Kevin Ferguson Jr.,Lightweight
"67.5""",Gabriella Fernandes,Women's Flyweight
"72""",Brunno Ferreira,Middleweight
"78""",Cezar Ferreira,Middleweight
"74""",Diego Ferreira,Lightweight
"59.5""",Elisandra Ferreira,Women's Atomweight
"70""",Erisson Ferreira,Flyweight
"74""",Handesson Ferreira,Welterweight
"85""",Renan Ferreira,Heavyweight
"74""",Andre Fialho,Welterweight
"62""",Randi Field,Women's Flyweight
"70""",Michal Figlak,Lightweight
"68""",Deiveson Figueiredo,Flyweight
"68""",Francisco Figueiredo,Flyweight
"69""",Edwin Figueroa,Bantamweight
"68.5""",Jafel Filho,Flyweight
"74""",Andre Fili,Featherweight
"73""",Mirko Filipovic,Heavyweight
"70.5""",Luigi Fioravanti,Welterweight
"72""",Nick Fiore,Lightweight
"65""",Manon Fiorot,Women's Flyweight
"72""",Jason Fischer,Lightweight
"68.5""",Andrew Fisher,Featherweight
"70""",Spencer Fisher,Lightweight
"68""",Chris Fishgold,Featherweight
"76""",Jon Fitch,Welterweight
"71""",Rafael Fiziev,Lightweight
"67""",AJ Fletcher,Welterweight
"69""",Colby Fletcher,Women's Flyweight
"78""",Colin Fletcher,Lightweight
"77""",Will Fleury,Middleweight
"68""",Jimmy Flick,Flyweight
"69""",Jonas Flok,Lightweight
"74""",Alejandro Flores,Featherweight
"73""",Jose Flores,Lightweight
"73""",Ty Flores,Light Heavyweight
"74""",Kenny Florian,Featherweight
"71""",Darrius Flowers,Welterweight
"74""",Caros Fodor,Lightweight
"71.5""",Rob Font,Bantamweight
"75""",Jesse Forbes,Middleweight
"67""",Jussier Formiga,Flyweight
"71""",Renee Forte,Lightweight
"62""",Brianna Fortino,Women's Strawweight
"74""",Marcel Fortuna,Middleweight
"76.5""",Tyree Fortune,Light Heavyweight
"77""",Tyrell Fortune,Heavyweight
"71""",Brian Foster,Lightweight
"77""",Glaico Franca,Lightweight
"71""",Hermes Franca,Lightweight
"67.5""",John Franchi,Featherweight
"63""",Monica Franco,Women's Bantamweight
"80""",Davion Franklin,Heavyweight
"76""",Rich Franklin,Middleweight
"61""",Stephanie Frausto,Women's Strawweight
"75""",Justin Frazier,Heavyweight
"73""",Cody Freeman,Bantamweight
"65.5""",Patricio Freire,Featherweight
"71""",Patricky Freire,Lightweight
"76""",Josh Fremd,Middleweight
"71""",Matt Frevola,Lightweight
"65""",Jinh Yu Frey,Women's Strawweight
"70""",Vince Fricilone,Featherweight
"74""",Morgan Frier,Women's Featherweight
"69""",Sarah Frota,Women's Strawweight
"73""",Kevin Fryer,Middleweight
"63""",Mona Ftouhi,Women's Strawweight
"77""",Adam Fugitt,Welterweight
"70""",Masio Fullen,Featherweight
"80.5""",Jalin Fuller,Welterweight
"74""",Ricardo Funch,Welterweight
"69""",Rickey Furar,Bantamweight
"63""",Claudia Gadelha,Women's Strawweight
"70""",Justin Gaethje,Lightweight
"62""",Sheila Gaff,Women's Strawweight
"68""",Muin Gafurov,Bantamweight
"65.5""",Mitch Gagnon,Bantamweight
"74""",Mickey Gall,Welterweight
"68""",James Gallagher,Bantamweight
"62""",Caroline Gallardo,Women's Strawweight
"64""",Laura Gallardo,Women's Flyweight
"73""",Tom Gallicchio,Lightweight
"68.5""",Davy Gallon,Lightweight
"67""",Manvel Gamburyan,Bantamweight
"70.5""",Mateusz Gamrot,Lightweight
"76""",Shamil Gamzatov,Light Heavyweight
"81""",Ciryl Gane,Heavyweight
"70""",Eduardo Garagorri,Featherweight
"65.5""",Cody Garbrandt,Bantamweight
"72""",Alex Garcia,Welterweight
"71""",Edgar Garcia,Welterweight
"67""",Elias Garcia,Flyweight
"67""",Fernie Garcia,Bantamweight
"69.5""",Javier Garcia,Featherweight
"68""",Leonard Garcia,Featherweight
"70""",Rafa Garcia,Lightweight
"75""",Steve Garcia,Bantamweight
"77""",Kenny Garner,Heavyweight
"80""",Anthony Garrett,Heavyweight
"74.5""",Ian Machado Garry,Welterweight
"73""",Jonathan Gary,Featherweight
"73""",Pablo Garza,Featherweight
"66""",Azamat Gashimov,Flyweight
"71""",Kelvin Gastelum,Middleweight
"70""",Willie Gates,Flyweight
"69""",Melissa Gatto,Women's Bantamweight
"63""",Louis Gaudinot,Bantamweight
"68""",Chad George,Bantamweight
"63""",Karine Gevorgyan,Women's Flyweight
"69""",Nathan Ghareeb,Featherweight
"71.5""",Christos Giagos,Lightweight
"74.5""",Joe Giannetti,Lightweight
"72""",Chase Gibson,Featherweight
"71""",Cody Gibson,Bantamweight
"72.5""",Lance Gibson Jr.,Lightweight
"75""",Robert Gidron,Middleweight
"75.5""",Thomas Gifford,Lightweight
"69.5""",Joe Gigliotti,Welterweight
"74""",Trevin Giles,Middleweight
"71""",Gregor Gillespie,Lightweight
"72""",Micheal Gillmore,Middleweight
"78""",David Gladfelter,Middleweight
"75""",Bartlomiej Gladkowicz,Light Heavyweight
"67""",Kenneth Glenn,Lightweight
"70.5""",Ricky Glenn,Featherweight
"68""",Jeffrey Glossner,Featherweight
"77.5""",Mark Godbeer,Heavyweight
"61""",Loopy Godinez,Women's Strawweight
"72""",Billy Goff,Welterweight
"68.5""",Mikhail Gogitidze,Lightweight
"74""",Amiran Gogoladze,Welterweight
"61""",Hannah Goldy,Women's Strawweight
"75""",Marcelo Golm,Heavyweight
"78""",Denis Goltsov,Heavyweight
"63""",Denise Gomes,Women's Strawweight
"71.5""",Leandro Gomes,Featherweight
"69""",Edson Gomez,Welterweight
"67""",Frank Gomez,Featherweight
"71""",Joey Gomez,Bantamweight
"69.5""",Luis Gomez,Featherweight
"66""",Ulysses Gomez,Flyweight
"65""",Silvana Gomez Juarez,Women's Strawweight
"70""",Takanori Gomi,Lightweight
"73""",William Gomis,Featherweight
"76""",Gabriel Gonzaga,Heavyweight
"77""",Albert Gonzales,Welterweight
"72""",Justin Gonzales,Featherweight
"73""",Chris Gonzalez,Lightweight
"75""",Erick Gonzalez,Lightweight
"68""",Fernando Gonzalez,Welterweight
"74""",Jason Gonzalez,Lightweight
"64""",Jennifer Gonzalez,Women's Flyweight
"76""",Jorge Gonzalez,Light Heavyweight
"73""",Lewis Gonzalez,Welterweight
"74""",Mikey Gonzalez,Lightweight
"77""",Omoyele Gonzalez,Welterweight
"68""",Pearl Gonzalez,Women's Strawweight
"74""",Lyman Good,Welterweight
"77""",Jared Gooden,Welterweight
"76.5""",Eddie Gordon,Middleweight
"68""",Jared Gordon,Featherweight
"71""",Malcolm Gordon,Flyweight
"75""",Tresean Gore,Middleweight
"74""",Alex Gorgees,Lightweight
"76.5""",Themba Gorimbo,Welterweight
"68.5""",Tim Gorman,Bantamweight
"73""",Thibault Gouti,Lightweight
"76""",Wilson Gouveia,Light Heavyweight
"73""",Aviv Gozali,Lightweight
"75""",Damian Grabowski,Heavyweight
"76""",Khonry Gracie,Welterweight
"70""",Kron Gracie,Featherweight
"74""",Neiman Gracie,Welterweight
"76""",Rhalan Gracie,Welterweight
"79""",Roger Gracie,Light Heavyweight
"65""",Tara Graff,Women's Flyweight
"68""",Miranda Granger,Women's Strawweight
"69""",Davey Grant,Bantamweight
"76""",Dwight Grant,Welterweight
"72.5""",TJ Grant,Lightweight
"66""",Alexa Grasso,Women's Strawweight
"69""",Tony Gravely,Bantamweight
"71""",Michael Graves,Welterweight
"76""",Shelton Graves,Heavyweight
"67""",Kevin Gray,Flyweight
"71""",Bobby Green,Lightweight
"73""",Desmond Green,Lightweight
"73""",Gabe Green,Welterweight
"65""",Lanchana Green,Women's Strawweight
"80""",Maurice Greene,Heavyweight
"70""",Matt Grice,Featherweight
"77""",Forrest Griffin,Light Heavyweight
"73""",Jordan Griffin,Featherweight
"76""",Max Griffin,Welterweight
"68.5""",Tyson Griffin,Featherweight
"73""",Chad Griggs,Light Heavyweight
"72""",Brian Grinnell,Welterweight
"78""",Max Grishin,Light Heavyweight
"74""",Josh Grispi,Featherweight
"70""",Brittney Grizzelle,Women's Bantamweight
"67""",Tuomas Gronvall,Bantamweight
"79""",Kendall Grove,Middleweight
"68""",Chris Gruetzemacher,Lightweight
"73""",Vik Grujic,Welterweight
"72""",Mike Grundy,Featherweight
"61""",Minna Grusander,Women's Atomweight
"76""",Andrzej Grzebyk,Welterweight
"71""",Wang Guan,Featherweight
"69""",Taylor Guardado,Women's Lightweight
"76.5""",Trevor Gudde,Welterweight
"71""",Shannon Gugerty,Lightweight
"70""",Clay Guida,Lightweight
"68""",Melvin Guillard,Lightweight
"73""",Leonardo Guimaraes,Middleweight
"73""",Marcelo Guimaraes,Middleweight
"68""",Erik Gunha,Bantamweight
"72""",John Gunther,Lightweight
"69""",Jorge Gurgel,Lightweight
"68""",Gugun Gusman,Bantamweight
"71""",Adam Gustab,Lightweight
"79""",Alexander Gustafsson,Light Heavyweight
"70""",Claire Guthrie,Women's Bantamweight
"67""",Chris Gutierrez,Bantamweight
"75""",Favian Gutierrez,Middleweight
"69""",Horacio Gutierrez,Featherweight
"70""",Mando Gutierrez,Bantamweight
"63""",Hannah Guy,Women's Flyweight
"74""",Mike Guymon,Lightweight
"76.5""",Ty Gwerder,Middleweight
"66""",Chelsea Hackett,Women's Flyweight
"70""",Jake Hadley,Flyweight
"70""",Damir Hadzovic,Lightweight
"71""",Kyohei Hagiwara,Featherweight
"76""",Theo Haig,Light Heavyweight
"73""",Kevin Haley,Light Heavyweight
"72""",Caleb Hall,Lightweight
"70.5""",Ryan Hall,Featherweight
"79.5""",Uriah Hall,Middleweight
"72""",Dennis Hallman,Lightweight
"71.5""",Piotr Hallmann,Lightweight
"69""",Adrian Haly,Flyweight
"62""",Seo Hee Ham,Women's Strawweight
"68""",Mike Hamel,Lightweight
"76""",Anthony Hamilton,Heavyweight
"72""",Cee Jay Hamilton,Bantamweight
"75""",Marthin Hamlet,Light Heavyweight
"68.5""",Colton Hamm,Featherweight
"75""",Jared Hamman,Middleweight
"73""",Lee Hammond,Featherweight
"75.5""",Chad Hanekom,Middleweight
"65""",Flore Hani,Women's Flyweight
"69""",Angga Hans,Featherweight
"63""",Kay Hansen,Women's Strawweight
"71""",Scotty Hao,Welterweight
"72""",Nasrat Haqparast,Lightweight
"70""",Janay Harding,Women's Bantamweight
"78""",Antoni Hardonk,Heavyweight
"74""",Dan Hardy,Welterweight
"80.5""",Greg Hardy,Heavyweight
"81""",Jeremy Hardy,Heavyweight
"70""",Josh Hardy,Featherweight
"76""",Ryan Hardy Evans,Welterweight
"68""",Jeff Harmon,Welterweight
"69.5""",Erin Harpe,Women's Bantamweight
"76""",Carlston Harris,Welterweight
"76""",Chris Harris,Middleweight
"78""",Elijah Harris,Light Heavyweight
"77.5""",Gerald Harris,Middleweight
"64""",Phil Harris,Flyweight
"74.5""",Rex Harris,Middleweight
"77""",Walt Harris,Heavyweight
"69""",Andre Harrison,Featherweight
"66""",Kayla Harrison,Women's Lightweight
"76""",Collin Hart,Middleweight
"69""",Dale Hartt,Lightweight
"74""",Clay Harvison,Lightweight
"71.5""",Ken Hasegawa,Light Heavyweight
"70""",Hayder Hassan,Welterweight
"75""",Ahmad Hassanzada,Lightweight
"75.5""",John Hathaway,Welterweight
"68""",Chris Hatley Jr.,Featherweight
"77.5""",Phil Hawes,Middleweight
"69""",Jamie Hay,Featherweight
"72""",Tommy Hayden,Featherweight
"67""",Dylan Hazan,Flyweight
"76.5""",Dustin Hazelett,Lightweight
"73""",James Head,Welterweight
"74""",Pat Healy,Lightweight
"72.5""",David Heath,Light Heavyweight
"76""",Jake Hecht,Welterweight
"66.5""",Nick Hein,Lightweight
"72""",Ian Heinisch,Middleweight
"71""",Marcin Held,Lightweight
"70""",Benson Henderson,Lightweight
"74""",Dan Henderson,Middleweight
"71""",James Hendin,Featherweight
"73""",Cory Hendricks,Light Heavyweight
"69""",Johny Hendricks,Middleweight
"79""",Jose Henrique,Welterweight
"74""",Luis Henrique,Heavyweight
"73""",Danny Henry,Featherweight
"68""",Victor Henry,Bantamweight
"73""",Cody Herbert,Middleweight
"77""",Jai Herbert,Lightweight
"77""",Dave Herman,Heavyweight
"77""",Ed Herman,Light Heavyweight
"77""",Jack Hermansson,Middleweight
"72""",Alexander Hernandez,Lightweight
"75""",Anthony Hernandez,Middleweight
"67""",Carlos Hernandez,Flyweight
"71""",Nohelin Hernandez,Bantamweight
"69""",Ramiro Hernandez,Bantamweight
"73.5""",Socrates Hernandez,Featherweight
"74""",Alvaro Herrera,Welterweight
"66""",Geane Herrera,Flyweight
"65""",Felice Herrig,Women's Strawweight
"78""",Heath Herring,Heavyweight
"77""",Clint Hester,Middleweight
"71""",Jimy Hettes,Featherweight
"64""",Marcus Hicks,Welterweight
"75""",Jay Hieron,Welterweight
"71""",Brady Hiestand,Bantamweight
"73""",Jason High,Lightweight
"75""",Aaron Highbaugh,Middleweight
"72""",Leandro Higo,Bantamweight
"77.5""",Tim Hiley,Middleweight
"64.5""",Angela Hill,Women's Strawweight
"80""",Corey Hill,Welterweight
"79""",Jamahal Hill,Light Heavyweight
"66.5""",Josh Hill,Bantamweight
"77""",Kailan Hill,Middleweight
"79""",Tyler Hill,Welterweight
"73""",Hatsu Hioki,Featherweight
"63""",Itsuki Hirata,Women's Strawweight
"67.5""",Mizuto Hirota,Featherweight
"70""",Kwan Ho Kwak,Bantamweight
"70.5""",Matt Hobar,Bantamweight
"69""",Isaiah Hokit,Featherweight
"70""",Andrew Holbrook,Lightweight
"71""",Chris Holdsworth,Bantamweight
"81""",Kevin Holland,Middleweight
"70""",Roger Hollett,Light Heavyweight
"69""",Max Holloway,Featherweight
"69""",Holly Holm,Women's Bantamweight
"80""",Joseph Holmes,Middleweight
"70""",Kurt Holobaugh,Featherweight
"69""",Patrick Holohan,Flyweight
"69""",Scott Holtzman,Lightweight
"72""",Sabah Homasi,Welterweight
"68""",Mark Hominick,Featherweight
"65.5""",Barb Honchak,Women's Flyweight
"69""",JunYoung Hong,Featherweight
"69""",Sidemar Honorio,Flyweight
"80""",Lorenzo Hood,Heavyweight
"76""",Brian Hooi,Lightweight
"75""",Dan Hooker,Lightweight
"74""",Chase Hooper,Featherweight
"70""",Darrell Horcher,Lightweight
"70""",Yoshinori Horie,Featherweight
"66""",Kyoji Horiguchi,Flyweight
"67""",Yuma Horiuchi,Flyweight
"69.5""",Chris Horodecki,Featherweight
"68""",Jeff Hougland,Bantamweight
"78""",Brian Houston,Middleweight
"71""",John Howard,Welterweight
"70""",Jordan Howard,Bantamweight
"69.5""",Shane Howell,Flyweight
"67""",Carlos Huachin,Bantamweight
"69""",Brady Huang,Bantamweight
"71""",Austin Hubbard,Lightweight
"76""",Collin Huckbody,Middleweight
"72""",Rafael Hudson,Featherweight
"70""",Ethan Hughes,Welterweight
"69""",Gavin Hughes,Lightweight
"77""",Jeff Hughes,Heavyweight
"73""",Matt Hughes,Welterweight
"64""",Sam Hughes,Women's Strawweight
"74""",Miles Hunsinger,Welterweight
"75""",Harry Hunsucker,Light Heavyweight
"72""",Mark Hunt,Heavyweight
"73""",Adam Hunter,Middleweight
"73""",Omar Hussein,Lightweight
"83""",Ras Hylton,Heavyweight
"70""",Al Iaquinta,Lightweight
"78.5""",Khadis Ibragimov,Light Heavyweight
"65""",Stephanie Ielo Page,Women's Strawweight
"75.5""",Emeka Ifekandu,Lightweight
"71""",Dan Ige,Featherweight
"76""",Zelim Imadaev,Welterweight
"75""",Nassourdine Imavov,Middleweight
"64""",Sumiko Inaba,Women's Flyweight
"73""",Chris Indich,Welterweight
"74""",Luis Iniguez,Welterweight
"77.5""",Guto Inocente,Light Heavyweight
"65""",Mizuki Inoue,Women's Flyweight
"71""",Naoki Inoue,Bantamweight
"67""",Farbod Irannejad,Bantamweight
"75""",James Irvin,Light Heavyweight
"78""",Ali Isaev,Heavyweight
"69""",Teruto Ishihara,Featherweight
"74""",Damir Ismagulov,Lightweight
"69""",Leandro Issa,Bantamweight
"73""",Blagoy Ivanov,Heavyweight
"73""",Magnus Iversen,Welterweight
"74""",Anthony Ivy,Welterweight
"59""",Hassna Jaber,Women's Flyweight
"68""",Yves Jabouin,Bantamweight
"72""",Corey Jackson,Lightweight
"71""",Damon Jackson,Featherweight
"73""",Demarques Jackson,Welterweight
"72""",Jalen Jackson,Bantamweight
"78""",Jason Jackson,Welterweight
"67""",Kate Jackson,Women's Flyweight
"74""",Mike Jackson,Welterweight
"75.5""",Montel Jackson,Bantamweight
"73""",Quinton Jackson,Light Heavyweight
"72""",Miguel Jacob,Welterweight
"75""",Richard Jacobi,Heavyweight
"63""",Sharon Jacobson,Women's Strawweight
"76""",Dustin Jacoby,Middleweight
"72.5""",Tomasz Jakubiec,Middleweight
"82""",Daniel James,Heavyweight
"64""",Virna Jandiroba,Women's Strawweight
"76.5""",Ryan Janes,Middleweight
"73""",Dave Jansen,Lightweight
"73""",Brock Jardine,Welterweight
"76""",Keith Jardine,Middleweight
"70""",Rony Jason,Featherweight
"68""",Jasmine Jasudavicius,Women's Flyweight
"64""",Yazmin Jauregui,Women's Strawweight
"68""",Justin Jaynes,Lightweight
"77""",Thad Jean,Welterweight
"65.5""",Joanna Jedrzejczyk,Women's Strawweight
"73.5""",Aaron Jeffery,Middleweight
"73.5""",Tyson Jeffries,Light Heavyweight
"71""",Brandon Jenkins,Lightweight
"72""",Bubba Jenkins,Featherweight
"68""",Jack Jenkins,Featherweight
"72""",Nate Jennerman,Lightweight
"76""",Ryan Jensen,Middleweight
"67""",Chanmi Jeon,Women's Strawweight
"66""",Jeff Jepsen,Bantamweight
"73""",Ryan Jett,Welterweight
"70""",Ricardo Jimenez,Featherweight
"61""",Annely Jimenez Garcia,Women's Strawweight
"73""",Ryan Jimmo,Light Heavyweight
"68""",Martina Jindrova,Women's Lightweight
"69""",Asikeerbai Jinensibieke,Lightweight
"71.5""",Li Jingliang,Welterweight
"64""",Ilara Joanne,Women's Flyweight
"71.5""",Carls John de Tomas,Flyweight
"69""",Brett Johns,Bantamweight
"71""",Elijah Johns,Featherweight
"66""",Miles Johns,Bantamweight
"78""",Anthony Johnson,Light Heavyweight
"80""",Chad Johnson,Heavyweight
"70""",Charles Johnson,Flyweight
"70.5""",Dashon Johnson,Featherweight
"66""",Demetrious Johnson,Flyweight
"75""",Duane Johnson,Middleweight
"79""",Jordan Johnson,Light Heavyweight
"72""",Jose Johnson,Bantamweight
"75.5""",Kajan Johnson,Lightweight
"82""",Lavar Johnson,Heavyweight
"73""",Michael Johnson,Lightweight
"74""",Taylor Johnson,Middleweight
"77.5""",Tim Johnson,Heavyweight
"74""",Tony Johnson,Light Heavyweight
"74""",Tony Johnson Jr.,Heavyweight
"62""",Liana Jojua,Women's Bantamweight
"68.5""",Zuriko Jojua,Bantamweight
"75""",Daniel Jolly,Light Heavyweight
"75""",Austin Jones,Welterweight
"74""",Cody Jones,Welterweight
"75""",Jamelle Jones,Light Heavyweight
"84.5""",Jon Jones,Light Heavyweight
"66.5""",Joshua Jones,Lightweight
"74""",Mason Jones,Lightweight
"75""",Mike Jones,Welterweight
"62.5""",Tamika Jones,Women's Atomweight
"70""",Trevin Jones,Bantamweight
"64.5""",Jocelyn Jones-Lybarger,Women's Strawweight
"75.5""",Shawn Jordan,Heavyweight
"73""",Ivan Jorge,Lightweight
"66""",Scott Jorgensen,Bantamweight
"66""",Dwight Joseph,Featherweight
"77""",Krzysztof Jotko,Middleweight
"73.5""",Alan Jouban,Welterweight
"69""",Charles Jourdain,Featherweight
"78""",Dustin Joynson,Heavyweight
"69""",Anshul Jubli,Lightweight
"72""",Luke Jumeau,Welterweight
"73""",Erko Jun,Heavyweight
"72""",Chan Sung Jung,Featherweight
"78.5""",Da-Un Jung,Light Heavyweight
"73""",Rono Junior,Featherweight
"73""",Myles Jury,Featherweight
"74.5""",Zach Juusola,Lightweight
"73""",Igeu Kabesa,Featherweight
"66""",Emily Kagan,Women's Strawweight
"70""",Oron Kahlon,Featherweight
"68""",Lu Kai,Featherweight
"66.5""",Sirwan Kakai,Bantamweight
"68""",Khurshed Kakhorov,Bantamweight
"69""",Saidyokub Kakhramonov,Bantamweight
"74.5""",Maciej Kalicinski,Lightweight
"67""",Elina Kallionidou,Women's Flyweight
"76.5""",Zane Kamaka,Welterweight
"69""",Kai Kamaka III,Featherweight
"72""",Martin Kampmann,Welterweight
"72""",Bharat Kandare,Bantamweight
"67.5""",Masanori Kanehara,Bantamweight
"77""",Denis Kang,Middleweight
"73""",Kyung Ho Kang,Bantamweight
"68""",Manel Kape,Flyweight
"69""",Kai Kara-France,Flyweight
"67.5""",Georgi Karakhanyan,Lightweight
"66""",Alex Karalexis,Lightweight
"76""",Boimah Karmo,Lightweight
"75""",Impa Kasanganay,Middleweight
"71""",Jinnosuke Kashimura,Lightweight
"66""",Nadia Kassem,Women's Flyweight
"67""",Yusuke Kasuya,Lightweight
"64.5""",Brad Katona,Featherweight
"63""",Kristina Katsikis,Women's Flyweight
"72""",Calvin Kattar,Featherweight
"67""",Sarah Kaufman,Women's Featherweight
"72.5""",Kent Kauppinen,Welterweight
"65""",Sinead Kavanagh,Women's Featherweight
"71""",Canaan Kawaihae,Featherweight
"69""",Tatsuya Kawajiri,Featherweight
"70.5""",Mast Kawana,Featherweight
"76""",Kassius Kayne,Welterweight
"66""",Ahmet Kayretli,Bantamweight
"69""",Toshiomi Kazama,Bantamweight
"72""",Maciej Kazieczko,Lightweight
"68""",Rodney Kealohi,Flyweight
"64.5""",Julie Kedzie,Women's Bantamweight
"75""",Sam Kei,Heavyweight
"68""",Chris Kelades,Flyweight
"66""",Brian Kelleher,Featherweight
"70""",Tony Kelley,Featherweight
"70.5""",Daniel Kelly,Middleweight
"72""",Darragh Kelly,Lightweight
"71""",Nathan Kelly,Featherweight
"70""",Paul Kelly,Welterweight
"73""",Marshal Kemp,Lightweight
"71.5""",Song Kenan,Welterweight
"71""",Jeremy Kennedy,Featherweight
"71""",Steve Kennedy,Welterweight
"74""",Tim Kennedy,Middleweight
"68""",Casey Kenney,Bantamweight
"66""",Maimaitituoheti Keremuaili,Bantamweight
"75""",Adam Keresh,Heavyweight
"62""",Audrey Kerouche,Women's Strawweight
"69""",Will Kerr,Lightweight
"75""",Cezary Kesik,Middleweight
"73""",Rustam Khabilov,Welterweight
"76.5""",Mamed Khalidov,Middleweight
"74""",Sergey Khandozhko,Welterweight
"75""",Sergei Kharitonov,Heavyweight
"69""",Firdavs Khasanov,Bantamweight
"70""",Alfred Khashakyan,Bantamweight
"70""",Movlid Khaybulaev,Featherweight
"74""",Aliaskhab Khizriev,Middleweight
"73""",WonBin Ki,Lightweight
"66""",Pannie Kianzad,Women's Bantamweight
"66""",Denise Kielholtz,Women's Flyweight
"66""",Katsunori Kikuno,Featherweight
"72""",Jacob Kilburn,Featherweight
"76""",Dong Hyun Kim,Welterweight
"74""",HanSeul Kim,Welterweight
"71""",Jae Woong Kim,Featherweight
"72""",Ji Yeon Kim,Women's Flyweight
"71""",KyeungPyo Kim,Lightweight
"72""",MinWoo Kim,Bantamweight
"67""",Soo Chul Kim,Featherweight
"72""",Jeremy Kimball,Middleweight
"73""",Rob Kimmons,Welterweight
